metric,adaptive_n,fixed_n,adaptive_mean,fixed_mean,adaptive_minus_fixed,bootstrap_ci95_low,bootstrap_ci95_high,welch_p
tre_rmse_mm,18,18,1.00799242811596,2.457652394738346,-1.449659966622386,-1.6576722947666735,-1.251766721824571,2.5865613845806637e-11
tre_p95_mm,18,18,1.315340122222222,3.4733419722222214,-2.1580018499999993,-2.5020379308333327,-1.8593055168055552,1.462365381418201e-10
tre_max_mm,18,18,1.3544572222222222,3.6729680555555553,-2.318510833333333,-2.695184940277777,-1.9942858333333338,2.361083164715701e-10
fit_rmse_mm,18,18,1.1746472222222222,0.7040177777777777,0.47062944444444443,0.2594536375,0.6699245541666669,0.0001587048710786468
stop_k,18,18,10.88888888888889,10.0,0.8888888888888893,0.3888888888888893,1.5,0.008954571535109146
registration_duration_sec,18,18,54.195736611111066,23.277412555555596,30.91832405555547,25.863748819444336,37.16383333194431,1.7486914526548708e-10
total_duration_sec,18,18,164.77777777777777,102.27777777777777,62.5,38.6111111111111,90.0,0.00011375656811297252
registration_bbox_diagonal_mm,18,18,112.80287722222222,52.04002733333333,60.762849888888894,51.9462880236111,69.56587602222223,3.095512448271317e-14
pairwise_min_distance_mm,18,18,16.184079500000003,4.184086,11.999993500000002,8.838100816666667,14.943054162500003,1.0947109115912047e-07
pairwise_mean_distance_mm,18,18,46.59718166666667,21.186971,25.41021066666667,21.709505933333336,29.133846675000004,1.3193166477461241e-13
translation_uncertainty_mm,18,18,12.288537666666668,19.646152722222226,-7.3576150555555575,-10.819190398611113,-3.88062862638889,0.00033523636892498533
rotation_uncertainty_deg,18,18,1.752842722222222,3.906359833333333,-2.1535171111111113,-2.9985640375,-1.4030820263888892,5.516310059756731e-05
tre_tracking_quality_mean,18,18,0.8097847619047619,0.839867619047619,-0.030082857142857078,-0.08434855079365089,0.023061049206349125,0.2914945038605396
registration_tracking_quality_median,18,18,0.8686777777777777,0.8185604444444444,0.050117333333333236,-0.011922222222222278,0.11253343333333327,0.1316299926510392
