term,estimate,robust_se_hc3,ci95_low,ci95_high,p_value
Intercept,2.6751775947550778,0.17489045957294375,2.3323985927524498,3.017956596757706,8.092387236153498e-53
"C(protocol, Treatment(reference='Fixed k=10'))[T.Adaptive]",-1.4496599666223848,0.11841227933136897,-1.6817437694391646,-1.217576163805605,1.843132999344141e-34
C(operator_id)[T.OP-02],0.021230772361193206,0.15095557182907784,-0.27463671168944853,0.3170982564118349,0.8881523542331033
C(operator_id)[T.OP-03],-0.011433636186385474,0.11359418183239077,-0.2340741414311655,0.21120686905839453,0.9198256358364353
C(apple_vision_pro_id)[T.VP-B],-0.15860566590569095,0.11841227933136901,-0.39068946872247085,0.07347813691108895,0.18042878696891518
C(anatomy)[T.Tibia],-0.22386365784680706,0.11841227933136902,-0.455947460663587,0.008220144969972865,0.058685203781851276
C(tre_group_id)[T.TRE_GROUP_2],-0.06872134610114353,0.1610206546164057,-0.3843160299163618,0.2468733377140748,0.6695352723341654
C(tre_group_id)[T.TRE_GROUP_3],-0.019947404495112064,0.12115401193498823,-0.25740490447022485,0.21751009548000072,0.869223395356108
