protocol,n_runs,runs_all_7_tre_points_within_3mm,run_complete_pass_rate,runs_tre_rmse_above_2mm,runs_tre_rmse_above_3mm,runs_tre_max_above_3mm,total_tre_points
Adaptive,18,18,1.0,0,0,0,126
Fixed k=10,18,3,0.16666666666666666,16,2,15,126
