protocol,metric,n,mean,sd,median,q1,q3,min,max,mean_ci95_low,mean_ci95_high
Adaptive,tre_rmse_mm,18,1.00799242811596,0.11068795904003002,1.0040878943761722,0.9458655602093773,1.0934594589071598,0.7785453940822682,1.171397827501705,0.9571132280014719,1.0563198965389435
Adaptive,tre_p95_mm,18,1.315340122222222,0.14230231599456536,1.3323660999999998,1.2173246999999998,1.4224769,1.0230381999999998,1.5219864,1.2498836204166666,1.377339434722222
Adaptive,tre_max_mm,18,1.3544572222222222,0.139043921425847,1.384659,1.2780595,1.436798,1.07803,1.556043,1.289808636111111,1.4150148916666667
Adaptive,fit_rmse_mm,18,1.1746472222222222,0.24688264166569118,1.115325,0.9843005,1.3343125,0.732319,1.64484,1.0654152791666667,1.2864924541666667
Adaptive,stop_k,18,10.88888888888889,1.278274981412284,11.0,10.0,11.0,10.0,15.0,10.38888888888889,11.5
Adaptive,registration_duration_sec,18,54.195736611111066,11.364250831838154,52.19199749999993,47.35105474999992,55.088265999999976,43.822749999999814,94.06387899999982,49.93191918749999,59.9096679055555
Adaptive,total_duration_sec,18,164.77777777777777,52.36024036653986,156.0,128.5,173.0,108.0,325.0,143.77777777777777,190.5
Adaptive,registration_bbox_diagonal_mm,18,112.80287722222222,11.600017613632684,112.9566955,101.60123374999999,125.503525,96.832901,128.432602,107.5651082611111,118.0230372013889
Adaptive,pairwise_min_distance_mm,18,16.184079500000003,6.195481244655535,18.4570675,12.004676,19.614972,3.746097,23.378624,13.299322020833332,18.824957152777777
Adaptive,pairwise_mean_distance_mm,18,46.59718166666667,4.446677783623131,45.0525765,43.172051,51.161606,40.348936,52.879112,44.6529968375,48.622997938888886
Adaptive,translation_uncertainty_mm,18,12.288537666666668,4.286387529315277,10.5273815,9.6949185,15.2398935,6.594381,21.252161,10.454595806944443,14.290662133333335
Adaptive,rotation_uncertainty_deg,18,1.752842722222222,0.5261160340436883,1.5972439999999999,1.3651517499999999,2.0284737500000003,1.071446,2.943146,1.528117140277778,1.9977676083333331
Adaptive,tre_tracking_quality_mean,18,0.8097847619047619,0.08529935723047843,0.8033297142857143,0.7719457142857143,0.8733714285714286,0.6236582857142857,0.9285714285714286,0.7700799206349206,0.8467626031746032
Adaptive,registration_tracking_quality_median,18,0.8686777777777777,0.1028918138603705,0.82,0.82,1.0,0.6708,1.0,0.8228222222222222,0.9139333333333334
Fixed k=10,tre_rmse_mm,18,2.457652394738346,0.4375032352333795,2.357089081714033,2.222569430794968,2.7261670145424306,1.6924340903940267,3.4199490236236394,2.265250816890386,2.660591962251106
Fixed k=10,tre_p95_mm,18,3.4733419722222214,0.7047606152985871,3.3311804499999993,3.0080848249999996,3.7559530999999993,2.6585461,5.436839599999999,3.184244735,3.8111891859722222
Fixed k=10,tre_max_mm,18,3.6729680555555553,0.7730974558842136,3.5287085,3.18697325,4.1488175,2.669368,5.87633,3.3539379069444446,4.044075712500001
Fixed k=10,fit_rmse_mm,18,0.7040177777777777,0.38799041335997186,0.5042854999999999,0.423319,1.0482687499999999,0.247714,1.518947,0.5397680166666667,0.8857954597222223
Fixed k=10,stop_k,18,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Fixed k=10,registration_duration_sec,18,23.277412555555596,5.575345421537635,21.284780499999982,19.9018705000002,26.67341325000018,15.98754699999995,34.73467800000003,20.874440219444484,25.860137326388926
Fixed k=10,total_duration_sec,18,102.27777777777777,23.586650151292723,97.5,86.0,113.5,76.0,171.0,92.55416666666667,113.50138888888897
Fixed k=10,registration_bbox_diagonal_mm,18,52.04002733333333,15.847313385775621,51.699229,48.400555,58.458429,25.043117,76.939605,44.834692999999994,59.04225111111111
Fixed k=10,pairwise_min_distance_mm,18,4.184086,2.77150536069397,2.359704,2.204461,7.989965,2.200717,7.989965,2.932708888888888,5.469753555555554
Fixed k=10,pairwise_mean_distance_mm,18,21.186971,6.98210700802637,19.945855,18.816325,25.371848,10.357015,32.684928,18.078994926388887,24.346599277777777
Fixed k=10,translation_uncertainty_mm,18,19.646152722222226,6.399949701331611,19.831245,14.338742499999999,24.19599125,10.643058,31.081861,16.814755269444447,22.55284081111111
Fixed k=10,rotation_uncertainty_deg,18,3.906359833333333,1.7178183488930934,3.54612,2.84299,4.64924475,1.560481,8.653398,3.189679015277778,4.724150108333333
Fixed k=10,tre_tracking_quality_mean,18,0.839867619047619,0.08313871891864447,0.8431742857142858,0.7889857142857144,0.9111571428571428,0.6642114285714286,0.98,0.8015223968253969,0.8764120952380953
Fixed k=10,registration_tracking_quality_median,18,0.8185604444444444,0.09134145131462187,0.82,0.82,0.83885,0.6364,1.0,0.7781986333333334,0.8598715555555555
