package_name,status,reason,replacement_sequence
case_bonereg_tibia_pit_marker_trial_20260712_175657_753_model_off_20260712_180043,excluded_preliminary,HMDnet/enhanced model was not enabled; replaced by formal sequence 19.,19
case_bonereg_tibia_pit_marker_trial_20260712_180131_235_model_off_20260712_180328,excluded_preliminary,HMDnet/enhanced model was not enabled; replaced by formal sequence 20.,20
